"año","rol_establecimiento","id_vu","nombre_establecimiento","razon_social","rut_razon_social","ciiu4","ciiu6","region","rubro_vu","cantidad_toneladas","tratamiento_nivel_3","tratamiento_nivel_1","capitulo_ler","subcapitulo_ler","nombre_ler","nombre_establecimiento_trazabilidad","razon_social_trazabilidad","comuna_trazabilidad","id_comuna_trazabilidad","region_trazabilidad","rut","entrada_salida","capitulo ler","rut_razon_social_trazabilidad","tratamiento_nivel_2","categoria_residuo","rubro_vu_limpio"
2019,"Generador Industrial",6638,"GUACOLDA","GUACOLDA ENERGIA SPA","76418918-3","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Atacama","Termoeléctricas",324769.4,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","DEPOSITO DE CENIZAS GUACOLDA","GUACOLDA ENERGIA SPA","Huasco",3304,"Atacama",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",5440489,"PATIOS DOS","TRANSPORTES COMETA S A","95896000-K","Otras actividades de transporte de pasajeros por vía terrestre","Transporte de pasajeros en buses interurbanos","Metropolitana de Santiago","Transporte de pasajeros",215000,"Relleno sanitario","Eliminación","Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente","Otros residuos municipales","Residuos municipales no especificados en otra categoría","RELLENO SANITARIO SANTA MARTA","CONSORCIO SANTA MARTA S A","Talagante",13601,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos municipales","Transporte y Logística"
2019,"Generador Industrial",5452292,"CENTRAL TERMOELÉCTRICA ANGAMOS","EMPRESA ELECTRICA ANGAMOS SPA","76004976-K","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Antofagasta","Termoeléctricas",211022.45,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","DEPÓSITO DE CENIZAS ANGAMOS","EMPRESA ELECTRICA ANGAMOS SPA","Mejillones",2102,"Antofagasta",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",5452233,"CENTRAL TERMOELÉCTRICA COCHRANE","EMPRESA ELECTRICA COCHRANE S.P.A.","76085254-6","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Antofagasta","Termoeléctricas",192544.47,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","DEPÓSITO DE CENIZAS ANGAMOS","EMPRESA ELECTRICA ANGAMOS SPA","Mejillones",2102,"Antofagasta",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",5469555,"SOLCROM SA","SOLCROM S A","80397900-6","Fabricación de sustancias químicas básicas","Fabricación de otras sustancias químicas básicas n.c.p.","Metropolitana de Santiago","Industria química, de plástico y caucho",150370,"Relleno sanitario","Eliminación","Residuos de la construcción y demolición","Otros residuos de construcción y demolición","Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","RELLENO SANITARIO SANTA MARTA","CONSORCIO SANTA MARTA S A","Talagante",13601,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos de construcción","Industria y Manufactura"
2019,"Generador Industrial",81136,"PULLMAN CARGO S A","PULLMAN CARGO S A","89622400-K","Transporte de carga por carretera","Transporte de carga por carretera","Metropolitana de Santiago","Transporte de carga",145600,"Relleno sanitario","Eliminación","Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente","Otros residuos municipales","Residuos municipales no especificados en otra categoría","RELLENO SANITARIO SANTA MARTA","CONSORCIO SANTA MARTA S A","Talagante",13601,"Metropolitana de Santiago",NA,NA,NA,NA,NA,"Residuos municipales","Transporte y Logística"
2019,"Generador Industrial",5465853,"AEROPUERTO INTERNACIONAL AMB","SOCIEDAD CONCESIONARIA NUEVO PUDAHUEL S.A.","76466068-4","Transporte de pasajeros por vía aérea","Transporte de pasajeros por vía aérea","Metropolitana de Santiago","Transporte de pasajeros",127728,"Sitio de Escombros de la Construcción","Eliminación","Residuos de la construcción y demolición","Tierra (incluida la excavada de zonas contaminadas), piedras y lodos de drenaje","Tierra y piedras distintas de las especificadas en el código 17 05 03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Residuos de construcción","Transporte y Logística"
2019,"Generador Industrial",5453016,"OCEAN SPRAY CHILE SPA","OCEAN SPRAY CHILE SPA","76248962-7","Elaboración de otros productos alimenticios n.c.p.","Elaboración de otros productos alimenticios n.c.p.","Los Ríos","Industria manufacturera",113781,"Recepción de Lodos en PTAS","Eliminación","Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial","Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría","Residuos no especificados en otra categoría","PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS, LANCO","EMPRESA DE SERVICIOS SANITARIOS DE LOS LAGOS S.A","Lanco",14103,"Los Ríos",NA,NA,NA,NA,NA,"Otros","Industria y Manufactura"
2019,"Generador Industrial",436492,"CENTRAL TERMICA ANDINA","CENTRAL TERMOELECTRICA ANDINA S A","76708710-1","Generación, transmisión y distribución de energía eléctrica","Generación de energía eléctrica en centrales termoeléctricas","Antofagasta","Termoeléctricas",103916,"Depósito de Cenizas","Eliminación","Residuos de procesos térmicos","Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19)","Cenizas volantes de carbón","VERTEDERO CENIZA Y ESCORIA CTM","ENGIE ENERGIA CHILE S.A.","Mejillones",2102,"Antofagasta",NA,NA,NA,NA,NA,"Cenizas","Energía y Suministro"
2019,"Generador Industrial",633,"COMPAÑÍA SIDERÚRGICA HUACHIPATO","CIA SIDERURGICA HUACHIPATO S.A.","94637000-2","Industrias básicas de hierro y acero","Industrias básicas de hierro y acero","Biobío","Industria manufacturera",101773,"Co-procesamiento","Valorización","Residuos de procesos térmicos","Residuos de la industria del hierro y del acero","Escorias no tratadas","PLANTA CEMENTO TALCAHUANO","BIO BIO CEMENTOS S.A.","Talcahuano",8110,"Biobío",NA,NA,NA,NA,NA,"Metales","Industria y Manufactura"
